Date,Open,High,Low,Close,Volume
2019-06-11,7950.37,8049.41,7724.91,7914.06
2019-06-12,7914.3,8245.53,7834.98,8153.87
2019-06-13,8153.81,8324.65,8063.38,8311.87
2019-06-14,8312.73,8636.56,8180.75,8615.91
2019-06-15,8615.09,8902.8,8615.09,8822.41
2019-06-16,8822.4,9371.82,8801.8,9037.88
2019-06-17,9041.2,9413.55,8969.73,9289.34
2019-06-18,9289.17,9465.6,8942.66,9012.33
2019-06-19,9014.44,9227.21,8956.26,9227.21
2019-06-20,9229.34,9599.94,9221.28,9522.08
2019-06-21,9522.81,9944.32,9470.3,9927.71
2019-06-22,9927.23,11203.9,9868.08,10594.33
2019-06-23,10593.13,11283.03,10397.57,10949.62
2019-06-24,10939.94,11100.15,10559.29,10939.91
2019-06-25,10939.96,11566.64,10939.96,11551.72
2019-06-26,11548.2,13823.31,11522.58,12431.82
2019-06-27,12442.4,13312.24,10338.29,10747.18
2019-06-28,10749.54,12385.46,10748.38,12273.44
2019-06-29,12276.71,12429.24,11356.99,11944.37
2019-06-30,11943.97,12199.97,10863.7,11285.58
2019-07-01,11282.09,11282.64,10006.84,10583.24
2019-07-02,10572.29,10926.06,9682.19,10689.5
2019-07-03,10691.39,11565.89,10675.88,11409.87
2019-07-04,11408.44,12054.87,11396.62,11583.04
2019-07-05,11579.25,11706.39,10793.58,11078.43
2019-07-06,11081.97,11705.98,10850.33,11194.36
2019-07-07,11192.76,11601.69,11072.82,11538.22
2019-07-08,11538.89,12340.65,11339.3,12339.49
2019-07-09,12336.14,12804.58,12123.61,12554.47
2019-07-10,12556.98,13176.59,11572.61,11935.36
2019-07-11,11938.83,12189.42,11015.25,11302.49
2019-07-12,11299.94,11931.89,11102.86,11800.49
2019-07-13,11798.63,11851.85,10830.75,11024.69
2019-07-14,11026.64,11446.97,10332.21,10664.41
2019-07-15,10662.56,10943.73,9884.77,10749.7
2019-07-16,10757.05,11066.3,9401.02,9644.97
2019-07-17,9644.23,9974.82,9092.37,9824.56
2019-07-18,9826.58,10717.93,9295.15,10595.82
2019-07-19,10594.57,10775.2,10139.45,10563.13
2019-07-20,10567.43,11016.64,10399.94,10957.97
2019-07-21,10959.19,11084.81,10335.7,10568.3
2019-07-22,10568.8,10676.6,10079.55,10270.43
2019-07-23,10273.87,10348.61,9875.24,10125.24
2019-07-24,10123.99,10142.45,9539.69,9778.32
2019-07-25,9776.86,10183.78,9745.74,9899.11
2019-07-26,9898.23,9948.97,9668.59,9835.18
2019-07-27,9835.21,10191.65,9310.78,9508.68
2019-07-28,9508.79,9559.71,9351.51,9456.99
2019-07-29,9456.51,9710.61,9140.86,9504.78
2019-07-30,9505,9749.2,9394.72,9586.19
2019-07-31,9588.11,10117.81,9579.68,10050.3
2019-08-01,10049.75,10487.26,9895.78,10419.32
2019-08-02,10419.1,10666.38,10343,10427.8
2019-08-03,10425.89,10914.75,10419.71,10835.25
2019-08-04,10836.79,11032.27,10572.24,10966.15
2019-08-05,10964.54,11944.18,10952.14,11736.44
2019-08-06,11736.95,12316.04,11314.97,11373.26
2019-08-07,11369.96,12132.32,11224.74,11938.18
2019-08-08,11935.48,12018.14,11509.97,11720.99
2019-08-09,11722.26,12039.04,11676.67,11918.17
2019-08-10,11918.51,11971.2,11241.05,11303.51
2019-08-11,11304.26,11553.56,11119.32,11504.72
2019-08-12,11503.71,11583.27,11245.3,11393.48
2019-08-13,11393.42,11439.06,10769.29,10874.59
2019-08-14,10869.82,10902.91,10076.76,10193.32
2019-08-15,10195.32,10414.14,9501.36,10341.03
2019-08-16,10341.26,10543.94,9768.49,10447.58
2019-08-17,10447.68,10485.77,10015.93,10142.96
2019-08-18,10142.78,10512.08,10079.8,10424.56
2019-08-19,10426.84,10827.2,10279.3,10722.74
2019-08-20,10720.02,10955.86,10577.44,10796.13
2019-08-21,10798.93,10846.39,9873.79,10054.33
2019-08-22,10045.46,10230.3,9778.77,10141.55
2019-08-23,10143.6,10460.13,10055.72,10423.89
2019-08-24,10423.87,10457.4,9914.17,10076.27
2019-08-25,10075.87,10352.1,9907.2,10003.61
2019-08-26,10003.38,10625.62,9981.22,10269.92
2019-08-27,10270.92,10397.64,10040.24,10144.06
2019-08-28,10142.45,10280.49,9605.2,9728.75
2019-08-29,9729.56,9755.2,9346.83,9519.55
2019-08-30,9520.82,9698.3,9374.97,9598.6
2019-08-31,9598.57,9676.28,9512.24,9676.28
2019-09-01,9677.54,9778.03,9579.76,9711.99
2019-09-02,9711.92,10452.41,9711.92,10398.65
2019-09-03,10400.95,10769.58,10297.5,10698.73
2019-09-04,10698.59,10822.14,10394.08,10666.9
2019-09-05,10668.95,10695.84,10478.39,10559.76
2019-09-06,10560.67,10937.22,10231.35,10426.52
2019-09-07,10426.59,10572.76,10299.96,10531.56
2019-09-08,10529.25,10594.66,10294.86,10423.59
2019-09-09,10427.06,10508,10109.89,10289.21
